Athlete,Group,Body weight (kg),Attempt 1,Attempt 2,Attempt 3,Snatch Result (kg),Attempt 1,Attempt 2,Attempt 3,Clean Result (kg),Total (kg),Year,Gender
Ingeborg Marx (BEL),A,57.48,72.5,77.5,82.5,77.5,100,100,105,100,177.5,2000,W
Meagan Warthold (AUS),A,57.14,75,80,80,75,95,100,102.5,100,175,2000,W
Sophia Vandagne (SEY),A,57.14,67.5,72.5,72.5,72.5,87.5,92.5,92.5,87.5,160,2000,W
Leila Lassouani (ALG),A,57.6,60,65,67.5,60,82.5,87.5,87.5,82.5,142.5,2000,W
Melissa Lynn Fejeran (GUM),A,57.8,50,55,57.5,57.5,70,75,77.5,75,132.5,2000,W
Yang Xia (CHN),A,52.46,95,97.5,100,100,122.5,125,—,125,225,2000,W
Li Feng-ying (TPE),A,52.42,92.5,97.5,100,97.5,115,125,127.5,115,212.5,2000,W
Winarni Binti Slamet (INA),A,52.44,85,85,90,90,105,110,112.5,112.5,202.5,2000,W
Franca Gbodo (NGR),A,52,85,90,90,85,105,110,117.5,110,195,2000,W
Swe Swe Win (MYA),A,52.08,85,87.5,87.5,85,105,110,117.5,110,195,2000,W
Sanamacha Chanu (IND),A,52.16,80,85,87.5,85,105,110,117.5,110,195,2000,W
Mari Nakaga (JPN),A,52.58,77.5,77.5,77.5,77.5,105,110,110,105,182.5,2000,W
Marioara Munteanu (ROM),A,53,75,80,82.5,82.5,92.5,97.5,102.5,97.5,180,2000,W
Karla Fernández (VEN),A,52.6,80,80,85,80,95,95,95,95,175,2000,W
Tarana Abbasova (AZE),A,52.78,70,75,75,75,85,90,92.5,90,165,2000,W
Tara Nott (USA),A,47.48,80,82.5,82.5,82.5,100,102.5,105,102.5,185,2000,W
Raema Lisa Rumbewas (INA),A,47.98,80,85,85,80,102.5,105,107.5,105,185,2000,W
Sri Indriyani (INA),A,47.28,80,82.5,82.5,82.5,100,100,100,100,182.5,2000,W
Kay Thi Win (MYA),A,47.48,80,85,85,80,100,105,105,100,180,2000,W
Robin Goad (USA),A,47.66,77.5,80,80,77.5,95,100,105,100,177.5,2000,W
Kaori Niyanagi (JPN),A,47.66,75,80,80,75,100,100,105,100,175,2000,W
Eva Giganti (ITA),A,46.56,77.5,77.5,77.5,77.5,92.5,95,95,92.5,170,2000,W
Sabrina Richard (FRA),A,46.88,70,72.5,75,70,87.5,92.5,92.5,87.5,157.5,2000,W
Maria Elisabete Jorge (BRA),A,47.4,55,60,60,60,75,80,80,75,135,2000,W
Dika Toua (PNG),A,47.36,45,45,50,50,62.5,67.5,72.5,67.5,117.5,2000,W
